
[10:20:02 PM] Log Level: Critical | $a1a2f001-90db-487f-a2d8-09619cec4761 | Message: Water was detected - 4.99023 | Local IP: 192.168.0.14 | External IP: 212.80.46.166
[10:56:36 PM] Log Level: Critical | $a4d8d94a-a943-4cbf-a4a7-bbe360a8bae4 | Message: Water was detected - 0.952148 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[10:56:38 PM] Log Level: Critical | $4f2bf5a8-e0c7-450b-a0c8-d367fc0f5987 | Message: Water was detected - 1.11328 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[10:56:40 PM] Log Level: Critical | $3f49eecd-a95f-4520-9b48-b8da5a6ef16a | Message: Water was detected - 0.717773 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[10:57:38 PM] Log Level: Critical | $695c594a-771a-479b-86a7-2ddf3a7d2cba | Message: Water was detected - 0.859375 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[10:59:59 PM] Log Level: Critical | $d961c4f7-a968-49e3-8b89-53faf8ffb642 | Message: Water was detected - 1.16211 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:00:01 PM] Log Level: Critical | $7774521d-f2e2-4dab-9ea4-723d28f0876c | Message: Water was detected - 2.69531 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:00:10 PM] Log Level: Critical | $635a9e11-5205-4620-8912-d11facac735c | Message: Water was detected - 1.26953 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:00:12 PM] Log Level: Critical | $391d2c77-2973-4bec-9e90-ddee1ac59736 | Message: Water was detected - 2.15332 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:00:14 PM] Log Level: Critical | $fab36afa-e485-4c77-bedd-c582d9d23779 | Message: Water was detected - 2.36328 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:00:17 PM] Log Level: Critical | $c493607a-6b59-4daf-8514-16fecbd7fdf3 | Message: Water was detected - 1.75781 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:00:27 PM] Log Level: Critical | $9c4a3cc3-1d3a-4e4c-95c7-b6718c7a7988 | Message: Water was detected - 0.50293 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:00:30 PM] Log Level: Critical | $91039d1a-7570-4ff3-a4fc-e4880542b6aa | Message: Water was detected - 0.74707 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:04:53 PM] Log Level: Critical | $ae4518c7-daf1-40eb-808b-c6254baf2f7c | Message: Water was detected - 0.50293 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:06:55 PM] Log Level: Critical | $e2464cda-95dc-4407-a961-882131fe0327 | Message: Water was detected - 0.50293 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:18:45 PM] Log Level: Critical | $2ff7ca1c-2cba-41b0-9926-764772b56e82 | Message: Water was detected - 0.922852 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[11:30:37 PM] Log Level: Critical | $5e5a7310-89bd-402c-a095-d1b60f0e6ffc | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[11:30:43 PM] Log Level: Critical | $38029489-ecb1-49fa-9045-d0966246efb4 | Message: Water was detected - 1.44531 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[11:31:14 PM] Log Level: Critical | $fb7f085f-d1db-4655-b1b3-540ed6136010 | Message: Water was detected - 1.26953 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[11:31:18 PM] Log Level: Critical | $fb1f765a-34e1-4ba2-b171-0b77b04be1cf | Message: Water was detected - 0.986328 | Local IP: 192.168.0.14 | External IP: 212.80.46.166

